	0|1495118176.003682|1495118177.003682
200|0xdccf|1495118177.120710000|794
200|0xdcd0|1495118177.121142000|794
200|0xdcd1|1495118177.121173000|794
200|0xdcd2|1495118177.121593000|794
200|0xdcd3|1495118177.121624000|794
200|0xdcd4|1495118177.122044000|794
200|0xdcd5|1495118177.122075000|794
200|0xdcd6|1495118177.122494000|794
200|0xdcd7|1495118177.122500000|794
200|0xdcd8|1495118177.122922000|794
200|0xdcd9|1495118177.122928000|794
200|0xdcda|1495118177.123333000|794
200|0xdcdb|1495118177.123339000|794
200|0xdcdc|1495118177.123747000|794
200|0xdcdd|1495118177.123753000|794
200|0xdcde|1495118177.124159000|794
200|0xdcdf|1495118177.124165000|794
200|0xdce0|1495118177.124573000|794
200|0xdce1|1495118177.124580000|794
200|0xdce2|1495118177.124997000|794
200|0xdce3|1495118177.125004000|794
200|0xdce4|1495118177.125384000|446
100|0x1314|1495118177.329078000|794
100|0x1315|1495118177.329085000|794
100|0x1316|1495118177.329751000|794
100|0x1317|1495118177.329758000|794
100|0x1318|1495118177.330310000|794
100|0x1319|1495118177.330317000|794
100|0x131a|1495118177.330869000|794
100|0x131b|1495118177.330876000|794
100|0x131c|1495118177.331443000|794
100|0x131d|1495118177.331450000|794
100|0x131e|1495118177.331908000|794
100|0x131f|1495118177.331913000|794
100|0x1320|1495118177.332485000|794
100|0x1321|1495118177.332490000|794
100|0x1322|1495118177.333061000|794
100|0x1323|1495118177.333065000|794
100|0x1324|1495118177.333594000|794
100|0x1325|1495118177.333599000|794
100|0x1326|1495118177.334089000|794
100|0x1327|1495118177.334094000|794
100|0x1328|1495118177.334561000|794
100|0x1329|1495118177.334565000|794
100|0x132a|1495118177.335012000|794
100|0x132b|1495118177.335017000|794
100|0x132c|1495118177.335477000|794
100|0x132d|1495118177.335482000|794
100|0x132e|1495118177.335957000|794
100|0x132f|1495118177.335962000|794
100|0x1330|1495118177.336384000|794
100|0x1331|1495118177.336389000|794
100|0x1332|1495118177.336794000|794
100|0x1333|1495118177.336799000|794
100|0x1334|1495118177.337195000|794
100|0x1335|1495118177.337200000|794
100|0x1336|1495118177.337605000|794
100|0x1337|1495118177.337609000|794
100|0x1338|1495118177.338015000|794
100|0x1339|1495118177.338020000|794
100|0x133a|1495118177.338415000|794
100|0x133b|1495118177.338419000|794
100|0x133c|1495118177.338818000|794
100|0x133d|1495118177.338823000|794
100|0x133e|1495118177.339266000|794
100|0x133f|1495118177.339271000|794
100|0x1340|1495118177.339677000|794
100|0x1341|1495118177.339681000|794
100|0x1342|1495118177.340088000|794
100|0x1343|1495118177.340092000|794
100|0x1344|1495118177.340491000|794
100|0x1345|1495118177.340496000|794
100|0x1346|1495118177.340895000|794
100|0x1347|1495118177.340901000|794
100|0x1348|1495118177.341353000|794
100|0x1349|1495118177.341357000|794
100|0x134a|1495118177.341763000|794
100|0x134b|1495118177.341768000|794
100|0x134c|1495118177.342178000|794
100|0x134d|1495118177.342183000|794
100|0x134e|1495118177.342590000|794
100|0x134f|1495118177.342594000|794
100|0x1350|1495118177.343035000|794
100|0x1351|1495118177.343040000|794
100|0x1352|1495118177.343438000|794
100|0x1353|1495118177.343441000|794
100|0x1354|1495118177.343843000|794
100|0x1355|1495118177.343847000|794
100|0x1356|1495118177.344260000|794
100|0x1357|1495118177.344266000|794
100|0x1358|1495118177.344645000|794
100|0x1359|1495118177.344649000|794
100|0x135a|1495118177.345081000|794
100|0x135b|1495118177.345086000|794
100|0x135c|1495118177.345498000|794
100|0x135d|1495118177.345502000|794
100|0x135e|1495118177.345903000|794
